Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-02-2016","3,199","13,613","9.93","91","535","329","26","52","1,886"
"02-02-2016","3,163","12,272","8.91","50","725","309","65","29","1,805"
"03-02-2016","1,665","243","0.18","0","730","22","0","0","65"
"04-02-2016","1,604","0","0","0","1,440","0","0","0","0"
"05-02-2016","2,304","5,991","4.37","23","1,240","171","13","16","825"
"06-02-2016","2,344","4,808","3.49","30","671","177","1","16","817"
"07-02-2016","2,605","10,112","7.34","46","475","245","10","35","1,226"
"08-02-2016","2,480","7,042","5.14","48","1,190","202","18","30","1,078"
"09-02-2016","2,509","5,526","4.01","11","540","279","3","10","1,146"
"10-02-2016","2,804","8,099","5.9","43","818","234","35","38","1,312"
"11-02-2016","2,755","9,096","6.63","50","767","281","10","33","1,368"
"12-02-2016","1,675","291","0.21","0","735","26","0","0","85"
"13-02-2016","2,271","5,144","3.92","19","697","186","1","9","780"
"14-02-2016","2,377","4,234","3.19","10","584","193","17","13","889"
"15-02-2016","2,146","3,107","2.26","13","777","125","28","10","660"
"16-02-2016","2,414","6,192","4.5","16","912","209","13","23","982"
"17-02-2016","1,802","725","0.53","0","781","65","1","0","235"
"18-02-2016","2,676","7,934","5.83","39","829","237","24","30","1,287"
"19-02-2016","2,029","2,781","2.02","8","1,006","112","1","11","541"
"20-02-2016","2,699","8,969","6.51","81","1,038","170","42","48","1,224"
"21-02-2016","2,387","4,860","3.53","22","549","243","0","0","965"
"22-02-2016","2,448","5,242","3.81","7","658","285","5","5","1,078"
"23-02-2016","1,626","166","0.12","0","1,430","10","0","0","31"
"24-02-2016","2,375","6,549","4.8","22","1,254","115","23","48","964"
"25-02-2016","3,026","6,499","4.74","23","515","343","42","14","1,723"
"26-02-2016","2,586","8,373","6.12","27","795","282","6","18","1,162"
"27-02-2016","2,210","8,348","6.09","47","1,307","63","16","54","715"
"28-02-2016","2,371","6,261","4.55","20","721","196","17","24","910"
"29-02-2016","2,515","6,245","4.56","20","476","283","5","0","1,111"

