Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-04-2016","2,687","9,414","6.83","9","652","300","20","2","1,342"
"02-04-2016","3,335","14,727","10.69","75","559","473","26","8","2,167"
"03-04-2016","2,829","13,599","9.87","21","603","347","20","1","1,571"
"04-04-2016","3,269","15,048","10.92","40","983","355","69","25","2,063"
"05-04-2016","1,837","1,461","1.06","0","993","69","0","0","251"
"06-04-2016","2,334","3,490","2.53","0","1,197","230","12","1","923"
"07-04-2016","3,682","19,049","13.83","53","389","405","83","40","2,498"
"08-04-2016","3,185","13,517","9.81","32","627","382","22","15","1,873"
"09-04-2016","2,640","6,566","4.77","35","780","335","9","0","1,297"
"10-04-2016","2,708","9,325","6.82","71","777","234","14","7","1,166"
"11-04-2016","1,604","68","0.05","0","1,440","0","0","0","0"
"12-04-2016","1,604","0","0","0","1,440","0","0","0","0"
"13-04-2016","1,604","0","0","0","1,440","0","0","0","0"
"14-04-2016","1,604","0","0","0","1,440","0","0","0","0"
"15-04-2016","1,604","0","0","0","1,440","0","0","0","0"
"16-04-2016","2,407","6,887","5","33","1,230","164","30","16","994"
"17-04-2016","2,794","9,805","7.19","26","606","335","27","22","1,495"
"18-04-2016","3,286","13,271","9.66","55","681","427","21","51","2,125"
"19-04-2016","3,683","19,571","14.21","33","633","500","53","45","2,648"
"20-04-2016","1,910","1,634","1.19","0","970","95","0","0","373"
"21-04-2016","3,009","11,545","8.43","37","798","280","53","46","1,753"
"22-04-2016","3,824","17,510","12.71","30","604","254","146","107","2,575"
"23-04-2016","2,971","14,328","10.47","47","785","363","25","12","1,659"
"24-04-2016","2,592","7,802","5.69","31","972","300","13","20","1,229"
"25-04-2016","2,031","4,443","3.23","17","647","147","0","0","559"
"26-04-2016","2,306","3,748","2.72","3","1,020","182","0","0","679"
"27-04-2016","2,642","7,851","5.77","25","509","246","30","17","1,230"
"28-04-2016","1,903","3,139","2.28","1","1,144","63","11","5","361"
"29-04-2016","1,604","0","0","0","1,440","0","0","0","0"
"30-04-2016","2,242","6,510","5.02","31","1,304","88","6","42","697"
"01-05-2016","2,250","5,619","4.29","30","641","158","5","17","757"

